original_date,previous_date
3/13/15,3/12/15
3/14/15,3/13/15
3/15/15,3/14/15
3/16/15,3/15/15
3/17/15,3/16/15
3/18/15,3/17/15
3/19/15,3/18/15
3/20/15,3/19/15
3/21/15,3/20/15
3/22/15,3/21/15
3/24/15,3/22/15
3/25/15,3/24/15
3/26/15,3/25/15
3/28/15,3/26/15
3/29/15,3/28/15
3/31/15,3/29/15
4/2/15,3/31/15
4/3/15,4/2/15
4/4/15,4/3/15
4/6/15,4/4/15
4/7/15,4/6/15
4/8/15,4/7/15
4/10/15,4/8/15
4/11/15,4/10/15
4/12/15,4/11/15
4/13/15,4/12/15
4/14/15,4/13/15
4/15/15,4/14/15
4/17/15,4/15/15
4/18/15,4/17/15
4/19/15,4/18/15
4/20/15,4/19/15
4/21/15,4/20/15
4/22/15,4/21/15
4/23/15,4/22/15
4/24/15,4/23/15
4/25/15,4/24/15
4/26/15,4/25/15
4/29/15,4/26/15
5/1/15,4/29/15
5/2/15,5/1/15
5/3/15,5/2/15
5/5/15,5/3/15
5/6/15,5/5/15
5/7/15,5/6/15
5/8/15,5/7/15
5/9/15,5/8/15
5/10/15,5/9/15
5/11/15,5/10/15
5/12/15,5/11/15
5/13/15,5/12/15
5/15/15,5/13/15
5/16/15,5/15/15
5/17/15,5/16/15
5/19/15,5/17/15
5/20/15,5/19/15
5/21/15,5/20/15
5/22/15,5/21/15
5/23/15,5/22/15
5/24/15,5/23/15
5/25/15,5/24/15
5/26/15,5/25/15
5/27/15,5/26/15
5/28/15,5/27/15
5/29/15,5/28/15
5/30/15,5/29/15
5/31/15,5/30/15
6/1/15,5/31/15
6/2/15,6/1/15
6/3/15,6/2/15
6/4/15,6/3/15
6/5/15,6/4/15
6/6/15,6/5/15
6/7/15,6/6/15
6/9/15,6/7/15
6/10/15,6/9/15
6/11/15,6/10/15
6/12/15,6/11/15
6/13/15,6/12/15
6/14/15,6/13/15
6/15/15,6/14/15
6/16/15,6/15/15
6/17/15,6/16/15
6/18/15,6/17/15
6/19/15,6/18/15
6/20/15,6/19/15
6/21/15,6/20/15
6/23/15,6/21/15
6/24/15,6/23/15
6/25/15,6/24/15
6/26/15,6/25/15
6/28/15,6/26/15
6/29/15,6/28/15
6/30/15,6/29/15
7/1/15,6/30/15
7/2/15,7/1/15
7/3/15,7/2/15
7/4/15,7/3/15
7/5/15,7/4/15
7/6/15,7/5/15
7/7/15,7/6/15
7/8/15,7/7/15
7/10/15,7/8/15
7/11/15,7/10/15
7/12/15,7/11/15
7/17/15,7/12/15
7/18/15,7/17/15
7/19/15,7/18/15
7/21/15,7/19/15
7/22/15,7/21/15
7/23/15,7/22/15
7/24/15,7/23/15
7/25/15,7/24/15
7/26/15,7/25/15
7/27/15,7/26/15
7/28/15,7/27/15
7/29/15,7/28/15
7/30/15,7/29/15
7/31/15,7/30/15
8/1/15,7/31/15
8/2/15,8/1/15
8/3/15,8/2/15
8/4/15,8/3/15
8/5/15,8/4/15
8/7/15,8/5/15
8/8/15,8/7/15
8/9/15,8/8/15
8/10/15,8/9/15
8/11/15,8/10/15
8/12/15,8/11/15
8/14/15,8/12/15
8/15/15,8/14/15
8/16/15,8/15/15
8/17/15,8/16/15
8/18/15,8/17/15
8/19/15,8/18/15
8/20/15,8/19/15
8/21/15,8/20/15
8/22/15,8/21/15
8/23/15,8/22/15
8/24/15,8/23/15
8/25/15,8/24/15
8/26/15,8/25/15
8/27/15,8/26/15
8/28/15,8/27/15
8/29/15,8/28/15
8/30/15,8/29/15
8/31/15,8/30/15
9/1/15,8/31/15
9/2/15,9/1/15
9/4/15,9/2/15
9/5/15,9/4/15
9/6/15,9/5/15
9/7/15,9/6/15
9/8/15,9/7/15
9/9/15,9/8/15
9/11/15,9/9/15
9/12/15,9/11/15
9/13/15,9/12/15
9/14/15,9/13/15
9/15/15,9/14/15
9/16/15,9/15/15
9/17/15,9/16/15
9/18/15,9/17/15
9/19/15,9/18/15
9/20/15,9/19/15
9/22/15,9/20/15
9/23/15,9/22/15
9/24/15,9/23/15
9/25/15,9/24/15
9/26/15,9/25/15
9/27/15,9/26/15
9/28/15,9/27/15
9/30/15,9/28/15
10/1/15,9/30/15
10/3/15,10/1/15
10/4/15,10/3/15
3/4/16,3/3/16
3/5/16,3/4/16
3/6/16,3/5/16
3/7/16,3/6/16
3/8/16,3/7/16
3/9/16,3/8/16
3/11/16,3/9/16
3/12/16,3/11/16
3/13/16,3/12/16
3/14/16,3/13/16
3/16/16,3/14/16
3/17/16,3/16/16
3/18/16,3/17/16
3/23/16,3/18/16
3/24/16,3/23/16
3/25/16,3/24/16
3/26/16,3/25/16
3/27/16,3/26/16
3/28/16,3/27/16
3/30/16,3/28/16
3/31/16,3/30/16
4/1/16,3/31/16
4/4/16,4/1/16
4/6/16,4/4/16
4/7/16,4/6/16
4/8/16,4/7/16
4/10/16,4/8/16
4/11/16,4/10/16
4/12/16,4/11/16
4/13/16,4/12/16
4/14/16,4/13/16
4/15/16,4/14/16
4/16/16,4/15/16
4/19/16,4/16/16
4/20/16,4/19/16
4/21/16,4/20/16
4/22/16,4/21/16
4/23/16,4/22/16
4/24/16,4/23/16
4/25/16,4/24/16
4/26/16,4/25/16
4/27/16,4/26/16
4/28/16,4/27/16
4/29/16,4/28/16
4/30/16,4/29/16
5/1/16,4/30/16
5/3/16,5/1/16
5/4/16,5/3/16
5/5/16,5/4/16
5/7/16,5/5/16
5/8/16,5/7/16
5/10/16,5/8/16
5/11/16,5/10/16
5/12/16,5/11/16
5/13/16,5/12/16
5/14/16,5/13/16
5/15/16,5/14/16
5/17/16,5/15/16
5/18/16,5/17/16
5/19/16,5/18/16
5/20/16,5/19/16
5/21/16,5/20/16
5/22/16,5/21/16
5/24/16,5/22/16
5/25/16,5/24/16
5/26/16,5/25/16
5/27/16,5/26/16
5/28/16,5/27/16
5/29/16,5/28/16
5/30/16,5/29/16
5/31/16,5/30/16
6/1/16,5/31/16
6/2/16,6/1/16
6/3/16,6/2/16
6/4/16,6/3/16
6/5/16,6/4/16
6/6/16,6/5/16
6/7/16,6/6/16
6/8/16,6/7/16
6/9/16,6/8/16
6/10/16,6/9/16
6/11/16,6/10/16
6/12/16,6/11/16
6/14/16,6/12/16
6/15/16,6/14/16
6/16/16,6/15/16
6/17/16,6/16/16
6/18/16,6/17/16
6/19/16,6/18/16
6/20/16,6/19/16
6/21/16,6/20/16
6/22/16,6/21/16
6/24/16,6/22/16
6/25/16,6/24/16
6/26/16,6/25/16
6/28/16,6/26/16
6/29/16,6/28/16
6/30/16,6/29/16
7/1/16,6/30/16
7/2/16,7/1/16
7/3/16,7/2/16
7/4/16,7/3/16
7/5/16,7/4/16
7/6/16,7/5/16
7/8/16,7/6/16
7/9/16,7/8/16
7/10/16,7/9/16
7/15/16,7/10/16
7/16/16,7/15/16
7/17/16,7/16/16
7/18/16,7/17/16
7/19/16,7/18/16
7/20/16,7/19/16
7/21/16,7/20/16
7/22/16,7/21/16
7/23/16,7/22/16
7/24/16,7/23/16
7/25/16,7/24/16
7/26/16,7/25/16
7/27/16,7/26/16
7/28/16,7/27/16
7/29/16,7/28/16
7/30/16,7/29/16
7/31/16,7/30/16
8/2/16,7/31/16
8/3/16,8/2/16
8/4/16,8/3/16
8/5/16,8/4/16
8/6/16,8/5/16
8/7/16,8/6/16
8/8/16,8/7/16
8/9/16,8/8/16
8/10/16,8/9/16
8/11/16,8/10/16
8/12/16,8/11/16
8/13/16,8/12/16
8/14/16,8/13/16
8/16/16,8/14/16
8/17/16,8/16/16
8/18/16,8/17/16
8/19/16,8/18/16
8/20/16,8/19/16
8/21/16,8/20/16
8/22/16,8/21/16
8/23/16,8/22/16
8/24/16,8/23/16
8/25/16,8/24/16
8/26/16,8/25/16
8/27/16,8/26/16
8/28/16,8/27/16
8/29/16,8/28/16
8/30/16,8/29/16
8/31/16,8/30/16
9/2/16,8/31/16
9/3/16,9/2/16
9/4/16,9/3/16
9/5/16,9/4/16
9/6/16,9/5/16
9/7/16,9/6/16
9/9/16,9/7/16
9/10/16,9/9/16
9/11/16,9/10/16
9/12/16,9/11/16
9/13/16,9/12/16
9/14/16,9/13/16
9/15/16,9/14/16
9/16/16,9/15/16
9/17/16,9/16/16
9/18/16,9/17/16
9/19/16,9/18/16
9/20/16,9/19/16
9/21/16,9/20/16
9/22/16,9/21/16
9/23/16,9/22/16
9/24/16,9/23/16
9/25/16,9/24/16
9/27/16,9/25/16
9/28/16,9/27/16
9/29/16,9/28/16
9/30/16,9/29/16
10/1/16,9/30/16
10/2/16,10/1/16
